datetime,player,elo
2019-02-11 12:00:57,Imad,987
2019-02-17 22:35:03,Imad,1019
2019-02-14 22:38:49,Christophe,950
2019-02-19 22:38:49,Christophe,950
2019-02-17 22:41:23,Imad,989
2019-02-17 22:49:09,Imad,950
2019-02-17 23:04:58,Christophe,950
2019-02-17 23:26:10,Julien,1000
2019-02-17 23:27:32,Mourad,990
2019-02-17 23:27:32,Julien,1010
2019-02-17 23:33:42,Julien,973
2019-02-17 23:33:42,Fabrice,1026
2019-02-17 23:38:24,Mourad,1050
2019-02-17 23:38:24,Simon,950
2019-02-17 23:41:37,Julien,1050
2019-02-17 23:41:37,Fabrice,950
